Designator,Mid X,Mid Y,Layer,Rotation
C1,111.625000mm,-88.000000mm,Top,180.000000
C2,120.275000mm,-88.000000mm,Top,180.000000
C3,111.450000mm,-86.000000mm,Top,180.000000
C4,120.050000mm,-86.000000mm,Top,180.000000
C5,115.000000mm,-51.000000mm,Top,-90.000000
J2,118.000000mm,-94.500000mm,Top,0.000000
J3,118.500000mm,-73.000000mm,Top,0.000000
R1,113.500000mm,-82.500000mm,Top,180.000000
R2,122.000000mm,-82.500000mm,Top,180.000000
U1,115.250000mm,-87.250000mm,Top,-90.000000
U2,124.000000mm,-87.250000mm,Top,-90.000000
